film,year,wiki_url,oscar_winner,detail_url,producers,production_company,original_budget,converted_budget
Wings,1927,http://en.wikipedia.org/wiki/Wings_(1927_film),True,http://oscars.yipitdata.com/films/Wings_(1927_film),Lucien Hubbard,"Paramount , Famous Players-Lasky",US$ 2 million [ 4 ],2000000
The Racket,1927,http://en.wikipedia.org/wiki/The_Racket_(1928_film),False,http://oscars.yipitdata.com/films/The_Racket_(1928_film),Howard Hughes,"Paramount, Caddo",,0
Seventh Heaven,1927,http://en.wikipedia.org/wiki/Seventh_Heaven_(1927_film),False,http://oscars.yipitdata.com/films/Seventh_Heaven_(1927_film),William Fox,Fox,$1.3 million [ 1 ],1300000
The Broadway Melody,1928,http://en.wikipedia.org/wiki/The_Broadway_Melody,True,http://oscars.yipitdata.com/films/The_Broadway_Melody,Irving Thalberg & Lawrence Weingarten,Metro-Goldwyn-Mayer  [L],,0
Alibi,1928,http://en.wikipedia.org/wiki/Alibi_(1929_film),False,http://oscars.yipitdata.com/films/Alibi_(1929_film),Roland West,"United Artists , Feature Productions",,0
Hollywood Revue,1928,http://en.wikipedia.org/wiki/The_Hollywood_Revue_of_1929,False,http://oscars.yipitdata.com/films/The_Hollywood_Revue_of_1929,Harry Rapf,Metro-Goldwyn-Mayer,"US$426,000 [ 2 ]",426000
In Old Arizona,1928,http://en.wikipedia.org/wiki/In_Old_Arizona,False,http://oscars.yipitdata.com/films/In_Old_Arizona,Winfield Sheehan [G],Fox,,0
The Patriot,1928,http://en.wikipedia.org/wiki/The_Patriot_(1928_film),False,http://oscars.yipitdata.com/films/The_Patriot_(1928_film),Ernst Lubitsch,Paramount,$1 million,1000000
All Quiet on the Western Front,1929,http://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film),True,http://oscars.yipitdata.com/films/All_Quiet_on_the_Western_Front_(1930_film),"Carl Laemmle, Jr.",Universal,$1.2 million [ 2 ],1200000
The Big House,1929,http://en.wikipedia.org/wiki/The_Big_House_(1930_film),False,http://oscars.yipitdata.com/films/The_Big_House_(1930_film),Irving Thalberg,Metro-Goldwyn-Mayer,,0
Disraeli,1929,http://en.wikipedia.org/wiki/Disraeli_(1929_film),False,http://oscars.yipitdata.com/films/Disraeli_(1929_film),"Jack L. Warner , Darryl F. Zanuck",Warner Bros.,,0
The Divorcee,1929,http://en.wikipedia.org/wiki/The_Divorcee,False,http://oscars.yipitdata.com/films/The_Divorcee,Robert Z. Leonard,Metro-Goldwyn-Mayer,,0
The Love Parade,1929,http://en.wikipedia.org/wiki/The_Love_Parade,False,http://oscars.yipitdata.com/films/The_Love_Parade,Ernst Lubitsch,Paramount,,0
Cimarron,1930,http://en.wikipedia.org/wiki/Cimarron_(1931_film),True,http://oscars.yipitdata.com/films/Cimarron_(1931_film),William LeBaron,RKO Radio,"$1,433,000 [ 2 ]",1433000
East Lynne,1930,http://en.wikipedia.org/wiki/East_Lynne_(1931_film),False,http://oscars.yipitdata.com/films/East_Lynne_(1931_film),Winfield Sheehan [G],Fox,,0
The Front Page,1930,http://en.wikipedia.org/wiki/The_Front_Page_(1931_film),False,http://oscars.yipitdata.com/films/The_Front_Page_(1931_film),Howard Hughes,"United Artists, Caddo",,0
Skippy,1930,http://en.wikipedia.org/wiki/Skippy_(1931_film),False,http://oscars.yipitdata.com/films/Skippy_(1931_film),Adolph Zukor,Paramount,,0
Trader Horn,1930,http://en.wikipedia.org/wiki/Trader_Horn_(1931_film),False,http://oscars.yipitdata.com/films/Trader_Horn_(1931_film),Irving Thalberg,Metro-Goldwyn-Mayer,$1.3 million [ 1 ],1300000
Grand Hotel,1931,http://en.wikipedia.org/wiki/Grand_Hotel_(film),True,http://oscars.yipitdata.com/films/Grand_Hotel_(film),Irving Thalberg,Metro-Goldwyn-Mayer,"$750,000 [ 1 ]",750000
Arrowsmith,1931,http://en.wikipedia.org/wiki/Arrowsmith_(film),False,http://oscars.yipitdata.com/films/Arrowsmith_(film),Samuel Goldwyn,"Goldwyn, United Artists",,0
Bad Girl,1931,http://en.wikipedia.org/wiki/Bad_Girl_(1931_film),False,http://oscars.yipitdata.com/films/Bad_Girl_(1931_film),Winfield Sheehan [G],Fox,,0
The Champ,1931,http://en.wikipedia.org/wiki/The_Champ_(1931_film),False,http://oscars.yipitdata.com/films/The_Champ_(1931_film),King Vidor,Metro-Goldwyn-Mayer,,0
Five Star Final,1931,http://en.wikipedia.org/wiki/Five_Star_Final,False,http://oscars.yipitdata.com/films/Five_Star_Final,Hal B. Wallis,"Warner Bros., First National",,0
